Total run time = 9430846.0 s
Common binning = 0.40 keV
Energy_keV Counts
0.20 0
0.60 0
1.00 0
1.40 0
1.80 0
2.20 0
2.60 0
3.00 0
3.40 0
3.80 0
4.20 0
4.60 0
5.00 0
5.40 0
5.80 0
6.20 0
6.60 0
7.00 0
7.40 0
7.80 0
8.20 0
8.60 0
9.00 0
9.40 0
9.80 0
10.20 0
10.60 0
11.00 0
11.40 0
11.80 0
12.20 0
12.60 0
13.00 0
13.40 0
13.80 0
14.20 0
14.60 0
15.00 0
15.40 0
15.80 0
16.20 0
16.60 0
17.00 0
17.40 0
17.80 0
18.20 0
18.60 0
19.00 0
19.40 0
19.80 0
20.20 0
20.60 0
21.00 0
21.40 0
21.80 0
22.20 0
22.60 0
23.00 0
23.40 0
23.80 0
24.20 0
24.60 0
25.00 0
25.40 0
25.80 0
26.20 0
26.60 0
27.00 0
27.40 0
27.80 0
28.20 0
28.60 0
29.00 0
29.40 0
29.80 0
30.20 0
30.60 0
31.00 0
31.40 0
31.80 0
32.20 0
32.60 4
33.00 1
33.40 12
33.80 12
34.20 6
34.60 7
35.00 9
35.40 9
35.80 8
36.20 7
36.60 0
37.00 12
37.40 2
37.80 14
38.20 9
38.60 11
39.00 9
39.40 12
39.80 8
40.20 11
40.60 6
41.00 9
41.40 8
41.80 11
42.20 8
42.60 7
43.00 2
43.40 7
43.80 10
44.20 14
44.60 12
45.00 10
45.40 8
45.80 8
46.20 4
46.60 11
47.00 8
47.40 7
47.80 7
48.20 10
48.60 4
49.00 14
49.40 8
49.80 6
50.20 9
50.60 11
51.00 8
51.40 14
51.80 13
52.20 16
52.60 10
53.00 11
53.40 9
53.80 11
54.20 12
54.60 9
55.00 14
55.40 9
55.80 4
56.20 11
56.60 13
57.00 7
57.40 15
57.80 15
58.20 10
58.60 11
59.00 13
59.40 8
59.80 10
60.20 11
60.60 15
61.00 20
61.40 16
61.80 12
62.20 13
62.60 11
63.00 15
63.40 11
63.80 11
64.20 12
64.60 14
65.00 11
65.40 6
65.80 15
66.20 9
66.60 16
67.00 16
67.40 19
67.80 15
68.20 9
68.60 13
69.00 11
69.40 11
69.80 18
70.20 17
70.60 12
71.00 24
71.40 12
71.80 10
72.20 15
72.60 11
73.00 15
73.40 29
73.80 13
74.20 21
74.60 9
75.00 3
75.40 20
75.80 13
76.20 17
76.60 15
77.00 14
77.40 18
77.80 10
78.20 13
78.60 12
79.00 14
79.40 17
79.80 13
80.20 14
80.60 12
81.00 18
81.40 11
81.80 10
82.20 12
82.60 19
83.00 8
83.40 20
83.80 11
84.20 26
84.60 6
85.00 15
85.40 25
85.80 12
86.20 11
86.60 11
87.00 17
87.40 18
87.80 27
88.20 18
88.60 23
89.00 14
89.40 16
89.80 21
90.20 19
90.60 25
91.00 36
91.40 23
91.80 18
92.20 21
92.60 16
93.00 17
93.40 17
93.80 14
94.20 14
94.60 15
95.00 18
95.40 19
95.80 22
96.20 27
96.60 14
97.00 29
97.40 27
97.80 18
98.20 20
98.60 22
99.00 20
99.40 11
99.80 14
100.20 18
100.60 17
101.00 25
101.40 20
101.80 18
102.20 11
102.60 19
103.00 17
103.40 20
103.80 3
104.20 35
104.60 18
105.00 7
105.40 14
105.80 18
106.20 16
106.60 19
107.00 13
107.40 18
107.80 26
108.20 10
108.60 19
109.00 14
109.40 20
109.80 20
110.20 17
110.60 19
111.00 36
111.40 11
111.80 16
112.20 18
112.60 22
113.00 24
113.40 5
113.80 18
114.20 24
114.60 14
115.00 18
115.40 26
115.80 22
116.20 19
116.60 19
117.00 20
117.40 14
117.80 25
118.20 9
118.60 21
119.00 10
119.40 17
119.80 11
120.20 17
120.60 16
121.00 17
121.40 16
121.80 10
122.20 13
122.60 23
123.00 5
123.40 19
123.80 15
124.20 14
124.60 27
125.00 12
125.40 25
125.80 20
126.20 18
126.60 16
127.00 14
127.40 15
127.80 19
128.20 22
128.60 16
129.00 15
129.40 13
129.80 14
130.20 25
130.60 20
131.00 21
131.40 25
131.80 18
132.20 21
132.60 4
133.00 21
133.40 16
133.80 16
134.20 15
134.60 32
135.00 25
135.40 22
135.80 16
136.20 14
136.60 13
137.00 23
137.40 14
137.80 18
138.20 23
138.60 20
139.00 22
139.40 22
139.80 20
140.20 18
140.60 13
141.00 31
141.40 22
141.80 12
142.20 22
142.60 21
143.00 17
143.40 25
143.80 17
144.20 24
144.60 29
145.00 21
145.40 18
145.80 24
146.20 23
146.60 23
147.00 15
147.40 21
147.80 27
148.20 24
148.60 28
149.00 18
149.40 26
149.80 29
150.20 20
150.60 22
151.00 22
151.40 18
151.80 23
152.20 11
152.60 24
153.00 22
153.40 25
153.80 22
154.20 28
154.60 34
155.00 20
155.40 23
155.80 21
156.20 24
156.60 23
157.00 11
157.40 20
157.80 31
158.20 19
158.60 18
159.00 18
159.40 22
159.80 24
160.20 23
160.60 20
161.00 8
161.40 30
161.80 20
162.20 23
162.60 24
163.00 28
163.40 27
163.80 17
164.20 22
164.60 28
165.00 17
165.40 32
165.80 31
166.20 22
166.60 30
167.00 27
167.40 23
167.80 26
168.20 30
168.60 23
169.00 26
169.40 24
169.80 22
170.20 19
170.60 9
171.00 23
171.40 36
171.80 22
172.20 28
172.60 20
173.00 25
173.40 23
173.80 17
174.20 19
174.60 26
175.00 19
175.40 15
175.80 18
176.20 15
